"cell_id","N","gamma_v","gamma_o","variant","rep","lmm_auc","lmm_slope","lmm_intercept","lmm_nb10","lmm_nb20","gbm_auc","gbm_slope","gbm_intercept","gbm_nb10","gbm_nb20","lmm_coverage_slope","gbm_coverage_slope","mean_visits","prevalence","train_n","test_n","gbm_wins_auc","twin_delta_auc"
"C3_N2k_g0",2000,0,0,"outcome",9,0.747082105263158,0.748730395654678,0.135763189971059,0.768518518518518,0.740416666666667,0.747536842105263,0.768436310831024,0.103505795406643,0.768518518518518,0.740416666666667,0,0,6.022,0.7985,1400,600,1,0.000454736842105286
"C3_N2k_g0",2000,0,0,"treatment",10,0.762242225859247,0.869034135409992,0.0209447851962579,0.759444444444444,0.728333333333333,0.755548281505728,0.833496491579886,0.073929358501899,0.759444444444444,0.730416666666667,1,1,5.9685,0.8065,1400,600,0,-0.00669394435351889
"C3_N2k_g0",2000,0,0,"outcome",11,0.790677083333333,1.18361860056135,-0.15439953514488,0.777777777777778,0.75,0.788315972222222,1.17507266881173,-0.141652830027804,0.777777777777778,0.75,1,1,5.9865,0.7945,1400,600,0,-0.00236111111111104
"C3_N2k_g0",2000,0,0,"treatment",12,0.751113751113751,0.912909152364487,0.0974274559942289,0.77962962962963,0.749166666666667,0.752546340781635,0.91725314810484,0.0901352084247544,0.779814814814815,0.749583333333333,1,1,5.987,0.805,1400,600,1,0.00143258966788384
"C3_N2k_g0",2000,0,0,"outcome",13,0.772576800847458,0.974472778267107,-0.0122661866707783,0.762962962962963,0.732083333333333,0.771600238347458,0.971163152386746,-0.00926395749374698,0.762962962962963,0.732083333333333,1,1,6.0645,0.7925,1400,600,0,-0.0009765625
"C3_N2k_g0",2000,0,0,"treatment",14,0.81682069917364,1.1221416728637,-0.0559671490302023,0.78,0.754166666666667,0.816785757962229,1.12590629456402,-0.0717014891599081,0.779814814814815,0.754166666666667,1,1,6.093,0.7985,1400,600,0,-3.49412114118985e-05
"C3_N2k_g0",2000,0,0,"outcome",15,0.763049528800924,0.954836459504739,-0.00940663674905965,0.757407407407407,0.725416666666667,0.762463581764026,0.954154530739659,-0.0125344155365186,0.757407407407407,0.725416666666667,1,1,6.0405,0.787,1400,600,0,-0.000585947036898404
"C3_N2k_g0",2000,0,0,"treatment",16,0.78080937557224,1.08403097935766,-0.101243229994738,0.764814814814815,0.735833333333333,0.778595328860848,1.06443710149649,-0.0724306938983221,0.764814814814815,0.73625,1,1,6.037,0.798,1400,600,0,-0.00221404671139147
"C3_N2k_g0",2000,0,0,"outcome",17,0.809777365491651,1.07408960209026,-0.205944012413438,0.796296296296296,0.7725,0.80682745825603,1.032632230811,-0.144789964931283,0.796666666666667,0.770833333333333,1,1,5.981,0.819,1400,600,0,-0.0029499072356215
"C3_N2k_g0",2000,0,0,"treatment",18,0.743682487725041,0.849014341154285,0.108325846264353,0.759259259259259,0.72875,0.743371522094926,0.847848581321756,0.106788548461659,0.759444444444444,0.72875,1,1,5.953,0.7995,1400,600,0,-0.000310965630114457
"C3_N2k_g0",2000,0,0,"outcome",19,0.778463648834019,0.952001994121967,0.19573322450241,0.789074074074074,0.76125,0.777922171684355,0.922517119193711,0.213113042447798,0.789074074074074,0.76125,1,1,6.1145,0.7985,1400,600,0,-0.000541477149664349
"C3_N2k_g0",2000,0,0,"treatment",20,0.763914004420334,0.924246971359793,-0.00550268414195799,0.766666666666667,0.73625,0.767614359386511,0.927684986103208,-0.00673801651245362,0.766666666666667,0.73625,1,1,6.103,0.801,1400,600,1,0.00370035496617771
"C3_N2k_g0",2000,0,0,"outcome",21,0.803132318501171,1.04006179578451,0.0969414796481027,0.792962962962963,0.7675,0.804339871194379,1.02083393506353,0.112152625922148,0.792962962962963,0.76625,1,1,6.048,0.806,1400,600,1,0.00120755269320849
"C3_N2k_g0",2000,0,0,"treatment",22,0.78873294044665,1.13323450026632,0.0155012407453259,0.807407407407407,0.78375,0.78776364764268,1.0845905789402,0.0797659704952805,0.807407407407407,0.78375,1,1,5.9965,0.8095,1400,600,0,-0.000969292803970179
"C3_N2k_g0",2000,0,0,"outcome",23,0.773108167447307,1.0518501590687,-0.0968458990985833,0.792592592592593,0.766666666666667,0.772833723653396,1.06133390554725,-0.108172989775907,0.792592592592593,0.766666666666667,1,1,6.1115,0.8045,1400,600,0,-0.000274443793911061
"C3_N2k_g0",2000,0,0,"treatment",24,0.778152638299885,1.05193567529419,-0.243180327756559,0.746296296296296,0.715416666666667,0.777600857624821,1.04797918691889,-0.241203939073608,0.746296296296296,0.715416666666667,1,1,6.0125,0.7895,1400,600,0,-0.000551780675064228
"C3_N2k_g0",2000,0,0,"outcome",25,0.732136577818412,0.734032756299569,0.300081602393877,0.781481481481481,0.754166666666667,0.728409170827766,0.713664184462682,0.332402706306542,0.781666666666667,0.753333333333333,0,0,6.064,0.807,1400,600,0,-0.00372740699064633
"C3_N2k_g0",2000,0,0,"treatment",26,0.78293317184383,1.00731074184178,0.137907854528878,0.785185185185185,0.755833333333333,0.786744799088059,0.995932078728702,0.148745649907088,0.785185185185185,0.755416666666667,1,1,6.0585,0.792,1400,600,1,0.00381162724422912
"C3_N2k_g0",2000,0,0,"outcome",27,0.761762625304094,0.937432727493431,0.0149066551086866,0.776111111111111,0.747916666666667,0.761883400334719,0.936924062122669,0.0169109618455734,0.775925925925926,0.747916666666667,1,1,6.012,0.8005,1400,600,1,0.000120775030625131
"C3_N2k_g0",2000,0,0,"treatment",28,0.744315103047516,0.985614137935045,0.09555313905678,0.798148148148148,0.772916666666667,0.748332367944095,0.99735319514032,0.0778077737571189,0.798148148148148,0.772916666666667,1,1,6.0635,0.8125,1400,600,1,0.00401726489657883
"C3_N2k_g0",2000,0,0,"outcome",29,0.801162029459902,1.00363325884664,-0.190202833901943,0.759259259259259,0.725,0.795515548281506,0.964290674178028,-0.144745189589927,0.759259259259259,0.7225,1,1,6.058,0.8005,1400,600,0,-0.00564648117839606
"C3_N2k_g0",2000,0,0,"treatment",30,0.7821875,1.12979180008302,-0.0780419668963799,0.777777777777778,0.750416666666667,0.781475694444444,1.11945422712857,-0.0675577606218583,0.777777777777778,0.74875,1,1,6.138,0.7915,1400,600,0,-0.000711805555555611
"C4_N2k_g08_09",2000,0.8,0.9,"outcome",1,0.823685638957816,1.4104775175718,-0.275020930247825,0.807407407407407,0.783333333333333,0.824150899503722,1.40523045796796,-0.266483479957467,0.807407407407407,0.783333333333333,0,0,7.521,0.8035,1400,600,1,0.000465260545905788
"C4_N2k_g08_09",2000,0.8,0.9,"treatment",2,0.808474824355972,1.18671300111129,-0.25851166835612,0.792592592592593,0.766666666666667,0.808200380562061,1.1546228427027,-0.213586531167944,0.792592592592593,0.766666666666667,1,1,7.669,0.8155,1400,600,0,-0.00027444379391095
"C4_N2k_g08_09",2000,0.8,0.9,"outcome",3,0.791582811418267,1.10703895219176,-0.28956631427744,0.753703703703704,0.722916666666667,0.792532723672135,1.10015022841262,-0.284108823035617,0.753703703703704,0.722916666666667,1,1,7.5725,0.7895,1400,600,1,0.00094991225386809
"C4_N2k_g08_09",2000,0.8,0.9,"treatment",4,0.781740439433733,1.00710659144294,-0.117186774701403,0.751851851851852,0.72125,0.782284927294856,0.995892773240501,-0.100390089526113,0.751851851851852,0.720833333333333,1,1,7.6205,0.7845,1400,600,1,0.000544487861123599
